judul,label
"
Perpanjangan Kontrak Vale 20 Tahun di RI Diproses, Ini Bocorannya
",Netral
"
Antisipasi Mudik Lebaran, Pertamina Siapkan SPBU-Agen LPG Tambahan
",Positif
"
Vale Garap 3 Proyek Nikel di Sulawesi, Smelter Rampung 2026
",Positif
"
Pemantauan Kesiapan Stok BBM Jelang Lebaran
",Netral
"
Bocoran Hasil Pertemuan Bos Besar Freeport dengan Jokowi di Istana
",Netral
"
Catat! Potongan Pajak Gaji Bisa Dicek, Lebih Bayar Tagih ke Kantor
",Netral
"
Terkuak Alotnya Negosiasi Tambahan 10% Saham Freeport buat RI
",Negatif
"
Potret Sibuknya Pengiriman Barang Jelang Lebaran
",Netral
"
Apa Perbedaan Kripto dan Bitcoin? Pahami Sebelum Berinvestasi
",Netral
"
Vale Tunggu IUP Khusus Terbit, Singgung Koordinasi ESDM & BKPM
",Netral
"
WIKA Pastikan Tol Serang-Panimbang Aman Dilewati Pemudik, Ini Daya Tariknya
",Positif
"
Bahlil Ungkap Tak Bisa Cuma Dirinya Aktifkan IUP yang Dicabut, Ada Tim Satgas
",Netral
"
Pengecatan Marka Jalan Pantura untuk Mudik Aman
",Positif
"
4 SPBU Nakal Ditutup, Pemeriksaan Polisi Masih Berjalan
",Negatif
"
Kemenhub Minta Warga Tak Beli Tiket Mudik Gratis di Calo!
",Negatif
"
Untung Rp 214 M, Adhi Karya Tak Bagi Deviden ke Pemegang Saham
",Negatif
"
YUKK Payment Gateway Targetkan Transaksi QRIS di JakCloth 2024 Meningkat
",Positif
"
Satgas Sita Aset Pengemplang BLBI, Kali Ini Senilai Rp 257 Miliar
",Positif
"
Bos Adhi Karya Buka Suara Soal Rencana Penggabungan BUMN Karya
",Netral
"
Menteri PUPR Jamin PIK 2 & BSD Tak Pakai Duit Negara Meski Masuk PSN
",Netral
"
Jurus YUKK Payment Gateway Jamin Transaksi QRIS di JakCloth Aman
",Positif
"
Berlaku Juli 2024, Hampir Semua NIK Sudah Jadi NPWP
",Positif
