judul,label
"
McDonald's Gugat Gerakan Boikot Produk Israel di Malaysia Rp 20,17 Miliar
",Negatif
"
Musim Liburan Nataru 600 Ribu Orang Menyeberang dari Pulau Jawa ke Sumatera
",Netral
"
Rokok Elektrik Resmi Kena Pajak, Harga Vape cs Ikutan Naik?
",System: Negatif
"
Cadangan Minyak RI Mau Habis, SKK Migas Buka Suara
",Negatif
"
Jasa Sewa Kano Laris Manis Diserbu Pelancong, Sehari Raup Jutaan Rupiah
",Positif
"
Tarif Cukai Naik Lagi, Bagaimana Harga Rokok di Warung Madura-Minimarket?
",Negatif
"
Terowongan Tol Cisumdawu Retak Akibat Gempa, Masih Aman Dilewati?
",System: Negatif
"
Produsen Cokelat Hershey Dituntut Rp 76 M Cuma Gegara Ini
",Negatif
"
Dua Ladang Gas Raksasa Ditemukan, SKK Migas Target Produksi Sebelum 2030
",Positif
"
Mudahnya Bayar Biaya Pendidikan Universitas Pakai BRImo, Ini Caranya
",Positif
"
Kabar Duka, Direktur Garuda Indonesia Salman El Farisiy Meninggal Dunia
",Negatif
"
2024 Bisa Financial Freedom? Begini Loh Caranya
",Positif
"
Emiten Jusuf Hamka Pinjam Rp 600 M ke Bank Capital buat Bangun Tol Layang
",Negatif
"
Hari Ini Cukai Rokok Naik 10%, Rokok Makin Mahal
",Negatif
"
Ekonomi Lagi Menggeliat, Penyaluran Solar Subsidi 2023 Capai 102,69%
",Negatif
"
Produksi Gas HCML On Track Sepanjang Tahun 2023
",Positif
"
SKK Migas Sebut Target Produksi Minyak 1 Juta Bph di 2030 Sulit Tercapai
",Negatif
"
Exit Tol KM 149 Ditutup, Begini Cara Pergi Ke Stasiun Kereta Cepat Tegalluar
",Netral
"
Rayakan Tahun Baru, 5.670 Wisatawan Serbu Kepulauan Seribu
",Positif
"
Ini Dia Produk Investasi yang Cocok di Tahun Pemilu
",Positif
"
Ini Cara Daftar untuk Bisa Beli LPG 3 Kg yang Kini Wajib Pakai KTP
",Positif
"
Wajib Tahu! Mulai Hari Ini Beli LPG 3 Kg Harus Bawa KTP
",Negatif
"
Makin Menipis, Cadangan Minyak RI Tersisa 9 Tahun
",Negatif
"
Tahun Baru Harga BBM Kompak Turun, SPBU Mana yang Lebih Murah?
",Netral
"
Harga BBM VIVO Ikutan Turun, Jadi Segini Sekarang
",Negatif
"
Fungsi Laporan Perubahan Modal dan Contohnya
",Positif
"
Ikut Pertamina & Shell, Harga BBM SPBU BP Turun Semua
",Negatif
"
Tahun Baru Harga BBM Shell Turun, Ini Daftarnya
",Positif
"
Mengorek Biang Kemacetan Horor Pulau Dewata
",Negatif
"
Penyemprotan Pestisida dengan Drone Mulai Diminati, Begini Potretnya
",Positif
"
Tahun Baru Pertamax cs Turun Lagi, Ini Daftar Harga di Semua SPBU Pertamina
",Negatif
"
Harta 500 Orang Terkaya Tembus Rp 230 Kuadriliun, Elon Musk Paling Tajir Sedunia
",Positif
"
Momen Penyambutan Penumpang Pesawat Perdana 2024
",Positif
"
Pabrik Semikonduktor Belanda Dilarang Ekspor ke China, AS Penyebabnya
",Negatif
"
Pertamina Pasok BBM Ramah Lingkungan untuk Kapal Pesiar di Bali
",Netral
"
Jurus Bank Daerah Bikin Jakarta Jadi Kota Global
",Positif
"
Penampakan Kawasan Industri Nikel di Morowali Sulteng
",Negatif
"
Disney Kehilangan Hak Cipta Mickey Mouse, Kok Bisa?
",Negatif
"
Rizal Ramli Meninggal Dunia, Begini Sepak Terjang Sang 'Rajawali Ngepret'
",Negatif
"
Kurangi Imigran, Inggris Larang Pelajar Asing Bawa Keluarga
",Negatif
"
Rizal Ramli, Sang 'Rajawali Ngepret' Meninggal Dunia
",Negatif
"
Sri Mulyani Gelontorkan Bansos Rp 443 T Sepanjang 2023, Subsidi Rp 269 T
",Positif
"
Apes! Wanita Ini Dipaksa Berutang Rp 54,27 T oleh Majikan
",Negatif
"
Perdagangan Saham Pertama di 2024, IHSG Cetak Rekor!
",Positif
"
Tajir Melintir! Intip Hidup Mewah Pangeran Abdul Mateen yang Mau Menikah
",Positif
"
Bunga Deposito BRI 2024: Rupiah, Valas, dan Syarat Buka Rekening
",Positif
"
SKK Migas Kembali Ngebor di Laut Aceh, Cari 'Harta Karun' Migas
",Netral
"
Kemenkeu Sebut Ada 12 Juta NIK Belum Didaftarkan Jadi NPWP
",Netral
"
Pengertian Struktur Pasar, Jenis, Ciri-ciri, dan Contohnya
",Positif
"
Bayar Gaji-Lembur PNS, Sri Mulyani Habiskan Rp 260,9 T Sepanjang 2023
",Negatif
"
Sisa-sisa Peninggalan Stasiun Pengangkut Opium yang Jadi Permukiman Warga
",Negatif
"
Kemenkeu Buka-bukaan Utang Pemerintah Tembus Rp 8.000 T, Sebut Masih Aman
",Netral
"
Rokok Elektrik Kena Pajak, Harganya Naik Jadi Segini
",Negatif
"
Pascagempa, Antrean BBM di Jepang Mengular Panjang
",Negatif
"
Pendaftaran Pengawas TPS Pemilu Dibuka, Gaji Kisaran Rp 750 Ribu-1 Jutaan
",Positif
"
Mentan ke Jokowi: Bapak Presiden, Kami Keliling 11 Provinsi Keluhannya soal Pupuk
",Negatif
"
Jokowi Blak-blakan Keinginan RI Setop Impor Beras Sulit Tercapai, Ini Sebabnya
",Negatif
"
Sukuk: Pengertian, Karakteristik, Hingga Bedanya dengan Obligasi
",Positif
"
Inflasi Indonesia Terendah dalam 20 Tahun, Ekonom Sebut Daya Beli Loyo
",Positif
"
Jokowi Janji Tambah Alokasi Subsidi Pupuk Tahun Ini Rp 14 T
",Positif
"
Sri Mulyani Sudah Gelontorkan APBN Rp 32,2 T buat Bangun IKN, Ini Rinciannya
",Positif
"
Tol Makassar New Port Mulai Beroperasi
",Positif
"
Pengusaha Tak Waswas Pilpres 2024 Dua Putaran, Asal...
",Netral
"
Penerimaan Bea Cukai di 2023 Hanya Rp 286 T, Turun 9,9%
",Negatif
"
LPS Catat Simpanan di Bank Umum Capai Rp 8.202 T di Q3 2023
",Positif
